tiempo_ms,roll,pitch,yaw,GyX,GyY,GyZ,AcX,AcY,AcZ
996,-1.32,0.20,-0.00,-2.68,1.62,-1.66,-2808,-14800,-6048
1019,-2.59,0.42,-0.01,-1.34,1.45,-1.59,-3008,-14652,-6204
1043,-3.83,0.63,-0.01,1.04,0.36,-1.82,-3040,-14420,-6180
1069,-5.04,0.84,-0.02,0.24,-0.55,-2.62,-3152,-14416,-6192
1095,-6.23,1.05,-0.02,2.35,-0.69,-3.09,-3100,-14600,-6032
1121,-7.42,1.24,-0.03,3.27,1.03,-4.01,-2944,-14676,-5892
1147,-8.61,1.40,-0.04,-0.40,-0.73,-5.19,-2680,-15108,-5920
1173,-9.73,1.59,-0.04,1.89,1.44,0.03,-2624,-14828,-5832
1218,-10.85,1.77,-0.04,-2.63,-0.05,-0.44,-3048,-14728,-6024
1242,-11.92,1.96,-0.05,1.78,0.48,-2.15,-3112,-14756,-6228
1268,-13.01,2.11,-0.05,0.37,-1.71,-4.30,-2764,-14816,-5888
1294,-14.08,2.27,-0.06,1.02,-0.66,-1.98,-2884,-15064,-5808
1320,-15.13,2.44,-0.06,1.21,1.81,-0.05,-2904,-15016,-5736
1346,-16.17,2.59,-0.06,-1.40,-0.78,-1.93,-2928,-15060,-5776
1371,-17.17,2.75,-0.07,-4.22,-1.49,-2.50,-3072,-14944,-5900
1397,-18.19,2.93,-0.10,-3.03,1.44,-1.81,-2904,-14484,-6000
1435,-19.12,3.09,-0.10,-2.05,0.67,-2.38,-3028,-14488,-6184
1464,-20.04,3.24,-0.11,0.48,-0.11,-3.30,-2932,-14720,-6220
1490,-20.94,3.38,-0.12,1.30,-1.05,-2.29,-2912,-14792,-6124
1531,-21.83,3.52,-0.12,2.71,-0.84,-0.81,-2984,-14636,-5896
1557,-22.73,3.66,-0.12,3.31,1.36,-2.65,-2944,-15004,-5640
1582,-23.62,3.79,-0.13,-1.66,-0.12,-3.33,-2816,-15056,-5652
1608,-24.51,3.95,-0.18,-2.66,1.31,-2.59,-3016,-14968,-6108
1646,-25.33,4.07,-0.18,1.28,1.04,-1.50,-2868,-14892,-5960
1670,-26.15,4.21,-0.18,2.06,0.25,-1.47,-3060,-14840,-5768
1702,-26.96,4.34,-0.19,0.75,0.25,-3.40,-2952,-14892,-5720
1727,-27.76,4.46,-0.20,-1.68,-0.44,-3.50,-3008,-15104,-5692
1753,-28.54,4.58,-0.20,-1.85,1.25,-1.70,-2944,-15020,-5740
1779,-29.30,4.70,-0.21,-2.68,1.41,-2.14,-2976,-14760,-5880
1805,-30.02,4.82,-0.21,-2.90,1.68,-3.05,-2948,-14652,-6024
1831,-30.76,4.94,-0.30,-1.81,0.51,-3.93,-2828,-14728,-6228
1873,-31.45,5.03,-0.30,0.68,-0.20,-3.11,-2780,-14848,-6236
1897,-32.14,5.12,-0.31,2.98,-1.09,-2.25,-2724,-14972,-6080
1923,-32.83,5.22,-0.31,1.23,-1.71,-1.13,-2792,-14924,-5740
1954,-33.51,5.32,-0.31,-1.29,0.25,-1.65,-2876,-14828,-5732
1980,-34.17,5.42,-0.32,-1.89,-0.24,-2.80,-2912,-14788,-5840
2016,-34.81,5.51,-0.32,-0.15,-0.85,-2.02,-2852,-14928,-5900
2042,-35.43,5.63,-0.34,0.02,0.27,-1.00,-3124,-14872,-5816
2085,-36.06,5.73,-0.35,-0.31,0.87,-1.66,-3016,-14784,-5576
2109,-36.69,5.82,-0.35,-2.43,0.89,-3.64,-2812,-14912,-5532
2135,-37.31,5.90,-0.36,-7.27,-0.23,-3.96,-2888,-15096,-5832
2161,-37.89,5.98,-0.37,-4.05,-0.44,-2.97,-2724,-15020,-6076
2187,-38.46,6.06,-0.37,-3.80,-0.71,-1.08,-2896,-14896,-5912
2212,-39.01,6.15,-0.37,-4.69,1.23,-1.47,-2896,-14452,-5944
2238,-39.54,6.24,-0.38,-3.66,1.89,-4.50,-2948,-14752,-6128
2264,-40.10,6.27,-0.45,-2.05,-1.36,-3.27,-2608,-14904,-6348
2304,-40.60,6.33,-0.45,-0.85,-0.60,-0.21,-2580,-14724,-6328
2329,-41.09,6.40,-0.45,-1.93,-1.39,-0.04,-2824,-14700,-6212
2355,-41.57,6.48,-0.45,-2.06,-3.02,-1.11,-3044,-14808,-6272
2380,-42.08,6.55,-0.46,-2.12,-3.47,-2.50,-2864,-14852,-5756
2406,-42.60,6.61,-0.46,-7.05,-1.66,-1.87,-2796,-15040,-5564
2437,-43.09,6.67,-0.46,-11.62,0.52,-1.51,-2656,-14900,-6060
2463,-43.54,6.73,-0.46,-10.40,0.20,-0.51,-2856,-14948,-6468
2489,-44.13,6.80,-0.45,-9.89,-0.08,0.99,-2832,-14568,-6308
2526,-44.56,6.88,-0.44,-10.77,0.78,1.10,-2952,-14408,-6268
2551,-44.95,6.97,-0.45,-13.37,-0.48,-1.18,-3248,-14420,-6672
2577,-45.32,7.05,-0.45,-8.08,-2.03,-2.28,-3192,-14600,-6872
2603,-45.73,7.12,-0.45,-6.47,-2.52,-2.01,-2972,-14796,-6212
2628,-46.18,7.18,-0.45,-10.83,2.99,-0.44,-2752,-14760,-5644
2659,-46.55,7.25,-0.46,-22.47,3.99,-3.24,-2932,-14612,-6892
2685,-46.87,7.31,-0.47,-18.33,-2.99,-3.03,-3096,-14680,-7716
2711,-47.23,7.36,-0.44,-3.68,-0.52,1.56,-2852,-14196,-7060
2764,-47.54,7.45,-0.44,-9.83,1.86,1.82,-3240,-13912,-6748
2788,-47.82,7.54,-0.44,-13.14,-1.65,-2.17,-3376,-13996,-7276
2814,-48.07,7.64,-0.44,-7.95,-0.91,-2.09,-3576,-14200,-7516
2840,-48.32,7.73,-0.44,1.68,3.60,1.76,-3260,-13968,-7076
2866,-48.58,7.81,-0.44,-0.55,4.86,0.15,-3108,-13556,-6856
